Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8987,Super Luxury (Non AC Seater 2+2 Push Back),00:25,03h 55m,04:20,3.6,INR 320,6 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 34333,LAHARI A/C SLEEPER CUM SEATER,00:50,04h 10m,05:00,3.1,INR 389,28 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8949,RAJDHANI (A.C. Semi Sleeper),01:15,03h 55m,05:10,2.2,INR 389,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8653,RAJADHANI AC (CONVERTED METRO LUXURY),03:00,04h 00m,07:00,4.5,INR 389,22 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8631,RAJADHANI AC (CONVERTED METRO LUXURY),03:30,04h 00m,07:30,3.6,INR 389,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8688,Rajdhani (AC Semi Sleeper 2+2),04:00,03h 20m,07:20,4.0,INR 389,27 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8611,Super Luxury (Non AC Seater 2+2 Push Back),04:40,04h 10m,08:50,3.4,INR 320,18 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8694,Rajdhani (AC Semi Sleeper 2+2),05:00,03h 20m,08:20,3.4,INR 389,29 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1321,LAHARI A/C SLEEPER CUM SEATER,05:40,03h 40m,09:20,3.7,INR 389,23 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64959,Super Luxury (Non AC Seater 2+2 Push Back),05:40,04h 30m,10:10,3.1,INR 320,24 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64187,Super Luxury (Non AC Seater 2+2 Push Back),05:45,04h 45m,10:30,3.3,INR 320,27 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8603,Rajdhani (AC Semi Sleeper 2+2),06:00,03h 20m,09:20,3.4,INR 389,33 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8633,Super Luxury (Non AC Seater 2+2 Push Back),06:45,04h 10m,10:55,3.3,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64016,Rajdhani (AC Semi Sleeper 2+2),07:00,03h 20m,10:20,2.8,INR 389,28 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64826,Super Luxury (Non AC Seater 2+2 Push Back),07:10,04h 20m,11:30,4.7,INR 320,28 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1954,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),07:25,03h 35m,11:00,3.7,INR 389,36 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8709,Super Luxury (Non AC Seater 2+2 Push Back),07:30,04h 30m,12:00,3.9,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8659,RAJDHANI (A.C. Semi Sleeper),08:00,04h 00m,12:00,3.8,INR 389,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64839,Super Luxury (Non AC Seater 2+2 Push Back),08:30,04h 30m,13:00,3.6,INR 320,25 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64000,Rajdhani (AC Semi Sleeper 2+2),09:00,04h 00m,13:00,3.5,INR 389,33 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 7648,Super Luxury (Non AC Seater 2+2 Push Back),09:30,04h 30m,14:00,2.8,INR 320,33 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64362,Super Luxury (Non AC Seater 2+2 Push Back),09:30,04h 30m,14:00,3.7,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8978,Super Luxury (Non AC Seater 2+2 Push Back),09:40,03h 55m,13:35,4.3,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8647,Rajdhani (AC Semi Sleeper 2+2),10:00,04h 00m,14:00,3.0,INR 389,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64824,Super Luxury (Non AC Seater 2+2 Push Back),10:30,04h 20m,14:50,2.0,INR 320,29 Seats available
